name,longitude,latitude,countryCode,stateProvince,prov,year,key
Lycorma delicatula,127.043847,37.377251,KR,Gyeonggi-do,gbif,2025,5994995423
Lycorma delicatula,127.100645,37.441266,KR,Gyeonggi-do,gbif,2025,5994995489
Lycorma delicatula,127.155028,37.377546,KR,Gyeonggi-do,gbif,2025,5994995965
Lycorma delicatula,127.155498,37.37744,KR,Gyeonggi-do,gbif,2025,5994996002
Lycorma delicatula,127.100564,37.441684,KR,Gyeonggi-do,gbif,2025,5994996171
Lycorma delicatula,127.10238,37.442016,KR,Gyeonggi-do,gbif,2025,5994996349
Lycorma delicatula,127.100649,37.444631,KR,Gyeonggi-do,gbif,2025,5994998383
Lycorma delicatula,127.163725,37.383741,KR,Gyeonggi-do,gbif,2025,5994995527
Lycorma delicatula,127.098523,37.440977,KR,Gyeonggi-do,gbif,2025,5994997055
Lycorma delicatula,127.15489,37.371777,KR,Gyeonggi-do,gbif,2025,5994998531
Lycorma delicatula,127.157994,37.382636,KR,Gyeonggi-do,gbif,2025,5995001670
Lycorma delicatula,127.156383,37.374264,KR,Gyeonggi-do,gbif,2025,5994997366
Lycorma delicatula,127.157806,37.382646,KR,Gyeonggi-do,gbif,2025,5994998236
Lycorma delicatula,127.101647,37.441927,KR,Gyeonggi-do,gbif,2025,5994996407
Lycorma delicatula,127.070279,37.407937,KR,Gyeonggi-do,gbif,2025,5994996953
Lycorma delicatula,-78.441217,38.526597,US,Virginia (VA),gbif,2025,6150964556
Lycorma delicatula,92.415131,27.0221,IN,Arunachal Pradesh,gbif,2025,6150780133
Lycorma delicatula,-73.949118,40.684928,US,New York State (NY),gbif,2025,5902554906
Lycorma delicatula,-74.044644,40.689287,US,New Jersey (NJ),gbif,2025,6152003141
Lycorma delicatula,-74.046156,40.690965,US,New Jersey (NJ),gbif,2025,5840878478
Lycorma delicatula,-74.001203,40.754417,US,New York State (NY),gbif,2024,4956851354
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756306435
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756325538
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756331667
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756332996
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756341031
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756313149
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756319759
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756320403
Lycorma delicatula,-75.875632,40.311438,US,Pennsylvania,gbif,2017,3756329475
